entry_id,phrase_id,phrase_alt_raw,phrase_alt_norm,phrase_ru,raw_block
5,1,бир (јаҥыс) аай 1) одновременно,бир (јаҥыс) аай 1) одновременно,"2) в один ряд, по порядку; 3) заодно; аайына чыгар 1) выяснять, разбираться; 2) решать","бир (јаҥыс) аай 1) одновременно; 2) в один ряд, по порядку; 3) заодно; аайына чыгар 1) выяснять, разбираться; 2) решать"
15,1,"аайлап салар 1) покончить, разо- браться с кем-л., чем-л.","аайлап салар 1) покончить, разобраться с кем-л., чем-л.",2) убить кого-л.,"аайлап салар 1) покончить, разо- браться с кем-л., чем-л.; 2) убить кого-л."
21,1,не аайлу 1) как сильно,не аайлу 1) как сильно,2) как много,не аайлу 1) как сильно; 2) как много
32,1,Аамайдыҥ сӧзи кезем (Посл.) Речь глупца резка,аамайдыҥ сӧзи кезем (посл.) речь глупца резка,,Аамайдыҥ сöзи кезем (Посл.) Речь глупца резка
106,1,"Агару сӧс алкышту, албатыга быйанду (Посл.) Священное слово благословенно, для народа благодатно","агару сӧс алкышту, албатыга быйанду (посл.) священное слово благословенно, для народа благодатно",,"Агару сöс алкышту, албатыга быйанду (Посл.) Священное слово благословенно, для народа благодатно"
112,1,карчый агаш крест,карчый агаш крест,"Агаш тазылы jер ӧдӧр, кижи тазылы эл ӧдӧр (Посл.) Корни дерева сквозь землю прорастают, корни человека сквозь народ прорастают","карчый агаш крест; Агаш тазылы jер öдöр, кижи тазылы эл öдöр (Посл.) Корни дерева сквозь землю прораста- ют, корни человека сквозь народ прорастают"
131,1,"Агын су- уда балык бар, албатыда арга бар (Погов.) В быстротечной реке рыба есть, у народа воз- можность есть","агын сууда балык бар, албатыда арга бар (погов.) в быстротечной реке рыба есть, у народа возможность есть","Агын сууны кӱрле кечер, ас улус jӧплӧ jеҥер (Погов.) Быстротечную реку по мосту переходят, малочисленный народ солидарностью побеждает","Агын су- уда балык бар, албатыда арга бар (Погов.) В быстротечной реке рыба есть, у народа воз- можность есть; Агын сууны кÿрле кечер, ас улус jöплö jеҥер (Погов.) Быстротечную реку по мосту переходят, малочисленный на- род солидарностью побеждает"
146,1,Аданыҥ айтканы алтыннаҥ баалу (Посл.) Сказанное отцом дороже золота,аданыҥ айтканы алтыннаҥ баалу (посл.) сказанное отцом дороже золота,Адазыныҥ адаанын балаКакой отец — такие и дети,Аданыҥ айтканы алтыннаҥ баалу (Посл.) Сказанное отцом дороже золота; Адазыныҥ адаанын бала- Какой отец — такие и дети
158,1,адакы сӧс послес- ловие,адакы сӧс послесловие,,адакы сöс послес- ловие
182,1,jер адару шмель,jер адару шмель,сары адару оса,jер адару шмель; сары адару оса
186,1,Ада- Тӧрӧл учун Улу jуу Великая Отечественная война,адатӧрӧл учун улу jуу великая отечественная война,,Ада- Тöрöл учун Улу jуу Великая Отечественная война
193,1,"Адучыныҥ огы jаспас, аjарыҥкайдыҥ jолы бузулбас (Погов.) У меткого пуля не промахнётся, внимательный с дороги не собьётся","адучыныҥ огы jаспас, аjарыҥкайдыҥ jолы бузулбас (погов.) у меткого пуля не промахнётся, внимательный с дороги не собьётся",,"Адучыныҥ огы jаспас, аjарыҥкайдыҥ jолы бузулбас (Погов.) У меткого пуля не промахнётся, внимательный с дороги не собьётся"
211,1,адырманду мешке бот. мухомор щетинистый,адырманду мешке бот. мухомор щетинистый,,адырманду мешке бот. мухомор щетинистый
226,1,Аjыктаза,аjыктаза,туу да кыймыктаар (Погов.) Если наблюдать — и гора задвигается,Аjыктаза — туу да кыймыктаар (Погов.) Если наблюдать — и гора задвигается
252,1,"ӧйинеҥ ажынар быть чрезмерным, перебарщивать","ӧйинеҥ ажынар быть чрезмерным, перебарщивать",,"ӧйинеҥ ажынар быть чрезмерным, перебарщивать"
276,1,азу тиш клык,азу тиш клык,,азу тиш клык
277,1,"Jакшы кижиниҥ алдына азулу казан турар, jаман кижи алдына айры талку jадар (Посл.) Перед хорошим человеком казан с готовой едой будет стоять, перед плохим человеком раздвоенная мялка будет лежать","jакшы кижиниҥ алдына азулу казан турар, jаман кижи алдына айры талку jадар (посл.) перед хорошим человеком казан с готовой едой будет стоять, перед плохим человеком раздвоенная мялка будет лежать",,"Jакшы кижиниҥ алдына азулу казан турар, jаман кижи алдына айры талку jадар (Посл.) Перед хорошим человеком казан с готовой едой будет стоять, перед плохим человеком раздвоенная мялка будет лежать"
307,1,Ай карыкса,ай карыкса,"коркымчылу, албаты карыкса — jеткерлӱ (Погов.) Если будет затмение луны — страшно, если будет затмение народа — опасно","Ай карыкса — коркымчылу, албаты карыкса — jеткерлÿ (Погов.) Если будет затмение луны — страш- но, если будет затмение народа — опасно"
310,1,"Бӧрӱ алды айа болор, бӧкӧ алды тайкак болор (Погов.) На пути волка ставится ло- вушка-самострел, под силачом земля бывает скользкой","бӧрӱ алды айа болор, бӧкӧ алды тайкак болор (погов.) на пути волка ставится ловушка-самострел, под силачом земля бывает скользкой",,"Бöрÿ алды айа болор, бöкö алды тайкак болор (Погов.) На пути волка ставится ло- вушка-самострел, под силачом земля бывает скользкой"
315,1,"айадаҥ (арайдаҥ) калар еле спа- стись, еле избежать беды","айадаҥ (арайдаҥ) калар еле спастись, еле избежать беды",,"айадаҥ (арайдаҥ) калар еле спа- стись, еле избежать беды"
317,1,"Айакка урган аш качан да jаман болбойтон (Посл.) Еда, налитая в чашку, никогда плохой не бывает","айакка урган аш качан да jаман болбойтон (посл.) еда, налитая в чашку, никогда плохой не бывает",,"Айакка урган аш качан да jаман болбойтон (Посл.) Еда, налитая в чашку, никогда плохой не бывает"
320,1,jеҥил айак (айак jеҥил) кижи лёгкий на подъём чело- век,jеҥил айак (айак jеҥил) кижи лёгкий на подъём человек,айак берижип уйуктаар спать валетом,jеҥил айак (айак jеҥил) кижи лёгкий на подъём чело- век; айак берижип уйуктаар спать валетом
330,1,айаҥ кӧл круглое озеро в горах,айаҥ кӧл круглое озеро в горах,,айаҥ кöл круглое озеро в горах
346,1,"Боро ийтти айбыга ийзеҥ, ол бойыныҥ куйругын айбылаар (Погов.) Если серого пса с просьбой пошлёшь","боро ийтти айбыга ийзеҥ, ол бойыныҥ куйругын айбылаар (погов.) если серого пса с просьбой пошлёшь",он свой хвост попросит,"Боро ийтти айбыга ийзеҥ, ол бойыныҥ куйругын айбылаар (Погов.) Если серого пса с просьбой пошлёшь — он свой хвост попросит"
348,1,Ийт куйругын айбыланар (Погов.) Собака просит свой хвост (о ленивом человеке),ийт куйругын айбыланар (погов.) собака просит свой хвост (о ленивом человеке),,Ийт куйругын айбыланар (Погов.) Собака просит свой хвост (о ленивом человеке)
355,1,бир айгыр мал табун лошадей при одном жеребце,бир айгыр мал табун лошадей при одном жеребце,,бир айгыр мал табун лошадей при одном жеребце
370,1,"Агаш jымжагын курт базар, айдынып болбосты сӧс базар (Посл.) Мягкое дерево червь точит, не умею- щего высказаться слово давит","агаш jымжагын курт базар, айдынып болбосты сӧс базар (посл.) мягкое дерево червь точит, не умеющего высказаться слово давит",,"Агаш jымжагын курт базар, айдынып болбосты сöс базар (Посл.) Мягкое дерево червь точит, не умею- щего высказаться слово давит"
387,1,ай-кулакка амыр бербес ушам покоя не давать,ай-кулакка амыр бербес ушам покоя не давать,ай-кулактаҥ айрылбас ушам покоя не давать,ай-кулакка амыр бербес ушам покоя не давать; ай-кулактаҥ айрылбас ушам по- коя не давать
392,1,ай- лана берер сгинуть,айлана берер сгинуть,"Ат казыкты айланар, казык атты айланбайтан (Посл.) Конь вокруг кола будет кружиться, кол вокруг коня кружиться не будет","ай- лана берер сгинуть; Ат казыкты айланар, казык атты айланбайтан (Посл.) Конь во- круг кола будет кружиться, кол вокруг коня кружиться не будет"
394,1,бажын айландырар вскру- жить голову кому-л.,бажын айландырар вскружить голову кому-л.,,бажын айландырар вскру- жить голову кому-л.
437,1,айруушка кӧдӱрер крити- ковать,айруушка кӧдӱрер критиковать,,айруушка кӧдӱрер крити- ковать
444,1,айры бутту двуногий (о человеке),айры бутту двуногий (о человеке),айры колыла иш этпес (айры колына иш тутпас) лентяй,айры бутту двуногий (о человеке); айры колыла иш этпес (айры колына иш тут- пас) лентяй
447,1,колынаҥ айрылар ускользнуть из рук,колынаҥ айрылар ускользнуть из рук,,колынаҥ айрылар ускользнуть из рук
456,1,айры-тейри куучындар сплетни,айры-тейри куучындар сплетни,,айры-тейри куучындар сплетни
459,1,"айса болзо вводн. сл. возможно, может быть","айса болзо вводн. сл. возможно, может быть",,"айса болзо вводн. сл. возможно, может быть"
461,1,"Айдардаҥ озо санан, могордоҥ (Посл.) Прежде чем сказать, по- озо чоттон думай, прежде чем решиться, рассчитай","айдардаҥ озо санан, могордоҥ (посл.) прежде чем сказать, поозо чоттон думай, прежде чем решиться, рассчитай",Айткан сӧс — аткан ок (Погов.) Сказанное слово — выпущенная стрела,"Айдардаҥ озо санан, могордоҥ (Посл.) Прежде чем сказать, по- озо чоттон думай, прежде чем решиться, рассчитай; Айткан сöс — аткан ок (Погов.) Сказанное слово — выпущенная стрела"
484,1,Ат болзо,ат болзо,"ӱйгендӱ болор, айыл болзо — ээлӱ болор (Погов.) Если конь, то с уздой должен быть, если дом, то с хозяином должен быть","Ат болзо — ÿйгендÿ болор, айыл болзо — ээлÿ болор (Погов.) Если конь, то с уздой должен быть, если дом, то с хозяином должен быть"
485,1,"Айлы-jуртыҥ ару тут, ачка-jутка табартпазыҥ (Посл.) Дом свой в чистоте держи, мор и голод обойдут","айлы-jуртыҥ ару тут, ачка-jутка табартпазыҥ (посл.) дом свой в чистоте держи, мор и голод обойдут",,"Айлы-jуртыҥ ару тут, ачка-jутка табартпазыҥ (Посл.) Дом свой в чистоте держи, мор и голод обойдут"
491,1,Ийтке ле балага болушсаҥ — айылдаш болбос (Посл.) Если будешь со- баку и ребёнка защищать — соседа не будет,ийтке ле балага болушсаҥ — айылдаш болбос (посл.) если будешь собаку и ребёнка защищать — соседа не будет,Айылдажыҥ уурыга тутпа (Посл.) Соседа в воровстве не подозревай,Ийтке ле балага болушсаҥ — айылдаш болбос (Посл.) Если будешь со- баку и ребёнка защищать — соседа не будет; Айылдажыҥ уурыга тутпа (Посл.) Соседа в воровстве не подозревай
494,1,Jалку кижи айылзак (Погов.) Ле- нивый человек,jалку кижи айылзак (погов.) ленивый человек,любитель бывать в гостях,Jалку кижи айылзак (Погов.) Ле- нивый человек — любитель бывать в гостях
497,1,Jакшы айылчы келгенде,jакшы айылчы келгенде,"ээзи тойор (Погов.) Когда приходит хороший гость, хозяин досыта наедается","Jакшы айылчы келгенде — ээзи тойор (Погов.) Когда приходит хоро- ший гость, хозяин досыта наедается"
505,1,"ак сагышту доброжелательный, отзывчивый","ак сагышту доброжелательный, отзывчивый","ак jӱректӱ добрый, добросердечный, добродушный, отзывчивый; самый честный; актыҥ агы ак мешке эт жирное мясо (с белым салом); Ак сагышты карартып болбозыҥ, кара сагышты агартып болбозыҥ (Погов.) Добрую мысль очернить не сможешь, злую мысль обелить не сможешь белый свет;","ак сагышту доброжелательный, отзывчивый; ак jÿректÿ добрый, добросердечный, добродушный, отзывчивый; самый честный; актыҥ агы ак мешке эт жирное мясо (с белым салом); Ак сагышты карартып болбозыҥ, кара са- гышты агартып болбозыҥ (Погов.) Добрую мысль очернить не сможешь, злую мысль обелить не сможешь белый свет;"
506,1,ӱстинде ак-jарыкка чыгар выйти в свет (быть изданным),ӱстинде ак-jарыкка чыгар выйти в свет (быть изданным),,ÿстинде ак-jарыкка чыгар выйти в свет (быть изданным)
517,1,овчиная шуба с акар тон коротким густым мехом (обычно из осенней шкуры ягнёнка),овчиная шуба с акар тон коротким густым мехом (обычно из осенней шкуры ягнёнка),,овчиная шуба с акар тон коротким густым мехом (обычно из осенней шкуры ягнёнка)
553,1,"Бурулуны актаба, актуны ка- ралаба (Посл.) Виновного не оправдывай, невиновного не черни","бурулуны актаба, актуны каралаба (посл.) виновного не оправдывай, невиновного не черни",,"Бурулуны актаба, актуны ка- ралаба (Посл.) Виновного не оправдывай, невиновного не черни"
568,1,акту jӱректеҥ от чистого сердца,акту jӱректеҥ от чистого сердца,акту кӱӱннеҥ 1) из чистых побуждений; 2) от чистого сердца; Акту сӧс ундылбас (Погов.) Честное слово не забудется,акту jÿректеҥ от чистого сердца; акту кӱӱннеҥ 1) из чистых побуждений; 2) от чистого серд- ца; Акту сöс ундылбас (Погов.) Честное сло- во не забудется
571,1,акчаныҥ кабы транжира,акчаныҥ кабы транжира,,акчаныҥ кабы транжира
585,1,сӧс алар брать слово,сӧс алар брать слово,тынын алар спасаться; колго алар взять в руки; ӧчин алар мстить; кижи алар жениться; кӱн алар проводить время; јыт алар чуять запах; ис алар брать след; кӧс албас не отрывать глаз; алар неме jок брать нечего; Аларын меҥдебе — тӱбин шӱӱ (Посл.) Брать не спеши — о последствиях подумай,сöс алар брать слово; тынын алар спа- саться; колго алар взять в руки; öчин алар мстить; кижи алар жениться; кӱн алар про- водить время; јыт алар чуять запах; ис алар брать след; кӧс албас не отрывать глаз; алар неме jок брать нечего; Аларын меҥдебе — тÿбин шÿÿ (Посл.) Брать не спеши — о по- следствиях подумай
587,1,ала кӧс выпученные глаза,ала кӧс выпученные глаза,,ала кöс выпученные глаза
589,1,jаказынаҥ ала эдегине jетире сверху до- низу (букв. с воротника до подола),jаказынаҥ ала эдегине jетире сверху донизу (букв. с воротника до подола),,jаказынаҥ ала эдегине jетире сверху до- низу (букв. с воротника до подола)
632,1,Аланчыктаҥ тудунба,аланчыктаҥ тудунба,"айыл бузулар, аамай-тенек jӱрбе — албаты айдар (Посл.) За остов юрты не держись — юрта рухнет, не будь дураком — народ ославит","Аланчыктаҥ тудунба — айыл бузулар, аамай-тенек jÿрбе — албаты айдар (Посл.) За остов юрты не держись — юрта рухнет, не будь дураком — народ осла- вит"
633,1,алаҥ болор недоумевать,алаҥ болор недоумевать,,алаҥ болор недоумевать
641,1,Алаҥзыҥкайдыҥ алары ас (Посл.) Склон- ному к сомнениям мало достаётся,алаҥзыҥкайдыҥ алары ас (посл.) склонному к сомнениям мало достаётся,,Алаҥзыҥкайдыҥ алары ас (Посл.) Склон- ному к сомнениям мало достаётся
676,1,албан залог грам. понудительный залог,албан залог грам. понудительный залог,,албан залог грам. понудительный залог
679,1,кӧк албанла насильно,кӧк албанла насильно,,кӧк албанла насильно
688,1,алгас кӧс близорукий,алгас кӧс близорукий,,алгас кӧс близорукий
699,1,јер алды подземный мир,јер алды подземный мир,"Алдынаҥ алкаар, арказынаҥ айдар (Погов.) В лицо благословляет, в спину ругает","јер алды подземный мир; Алдынаҥ алкаар, арказынаҥ айдар (Погов.) В лицо благо- словляет, в спину ругает"
709,1,"алды-кийнинеҥ jӱгӱрер (базар) ухаживать за кем-л., опекать кого-л.","алды-кийнинеҥ jӱгӱрер (базар) ухаживать за кем-л., опекать кого-л.","алдыкийнин тоолоор (чоттоор) 1) предъявлять счёт; 2) ругать, поносить","алды-кийнинеҥ jÿгÿрер (базар) ухаживать за кем-л., опекать кого-л.; алды- кийнин тоолоор (чоттоор) 1) предъявлять счёт; 2) ругать, поносить"
726,1,"Jергелешкен улус jеҥдиртпес, адаркашкан улус алдырыш- пас (Посл.) Рядом идущие люди не проигра- ют, подражающие друг другу люди не по- страдают черӱге алдырыш повестка в армию","jергелешкен улус jеҥдиртпес, адаркашкан улус алдырышпас (посл.) рядом идущие люди не проиграют, подражающие друг другу люди не пострадают черӱге алдырыш повестка в армию",2) проигрыш; кӧзӧр ойында алдырыш проигрыш в картах,"Jергелешкен улус jеҥдиртпес, адаркашкан улус алдырыш- пас (Посл.) Рядом идущие люди не проигра- ют, подражающие друг другу люди не по- страдают черӱге алдырыш повестка в армию; 2) про- игрыш; кöзöр ойында алдырыш проигрыш в картах"
727,1,алды-ӱстин тоолоор (чоттоор) 1) предъявить счёт,алды-ӱстин тоолоор (чоттоор) 1) предъявить счёт,"2) ругать, поносить","алды-ӱстин тоолоор (чоттоор) 1) предъявить счёт; 2) ругать, по- носить"
729,1,"Алдынаҥ алкаар, арказынаҥ айдар (Погов.) В лицо благославляет, за спиной ругает","алдынаҥ алкаар, арказынаҥ айдар (погов.) в лицо благославляет, за спиной ругает","Алкап болбозоҥ — албаданба, атпас болзоҥ, аҥ ӱркитпе (Посл.) Не умеешь благославлять — не старайся, не будешь стрелять — зверя не пугай","Алдынаҥ алкаар, арказынаҥ айдар (Погов.) В лицо благославляет, за спиной ругает; Алкап болбозоҥ — албаданба, атпас болзоҥ, аҥ ÿркитпе (Посл.) Не умеешь благославлять — не старайся, не будешь стрелять — зверя не пугай"
735,1,"алкы бойы лично сам, самолично","алкы бойы лично сам, самолично",,"алкы бойы лично сам, самолично"
739,1,"Айыл алкы-jӧӧжӧзиле бай эмес, аш-тузыла бай (Посл.) Дом не имуще- ством богат, а угощением богат","айыл алкы-jӧӧжӧзиле бай эмес, аш-тузыла бай (посл.) дом не имуществом богат, а угощением богат",,"Айыл алкы-jööжöзиле бай эмес, аш-тузыла бай (Посл.) Дом не имуще- ством богат, а угощением богат"
741,1,алкыжын jетирер благодарить,алкыжын jетирер благодарить,,алкыжын jетирер благодарить
756,1,"ал- сагышка тӱжер сильно печалиться, пережи- вать","алсагышка тӱжер сильно печалиться, переживать",ал-сагыжы чыгар душа в пятки ушла,"ал- сагышка тÿжер сильно печалиться, пережи- вать; ал-сагыжы чыгар душа в пятки ушла"
759,1,Алтай кӧдӱрер (та- кыыр) обряд поклонения Алтаю,алтай кӧдӱрер (такыыр) обряд поклонения алтаю,"Алтайыҥ кичее — алкышту, jериҥ кичее — jедимдӱ (Посл.) Береги свой Алтай — он благословенен, береги свою землю — она благодатна","Алтай кöдÿрер (та- кыыр) обряд поклонения Алтаю; Алтайыҥ кичее — алкышту, jериҥ кичее — jедимдÿ (Посл.) Береги свой Алтай — он благослове- нен, береги свою землю — она благодатна"
760,1,алтай укту кой овца алтайской породы,алтай укту кой овца алтайской породы,,алтай укту кой овца алтайской породы
780,1,Алтын-Кӧл геогр. Телецкое озеро (Золотое озеро),алтын-кӧл геогр. телецкое озеро (золотое озеро),"Алтын казык Полярная звезда; алтын колду с золотыми руками (о человеке); Алтынга садынба, алып мен деп мактанба (Посл.) За золото не продавайся, не хвались, что богатырь; Акча — чаазын, кижи — алтын (Посл.) Деньги — бумага, человек — золото","Алтын-Кӧл геогр. Телецкое озеро (Золотое озеро); Алтын казык Полярная звезда; ал- тын колду с золотыми руками (о человеке); Алтынга садынба, алып мен деп мактанба (Посл.) За золото не продавайся, не хвались, что богатырь; Акча — чаазын, кижи — ал- тын (Посл.) Деньги — бумага, человек — зо- лото"
822,1,санаа (са- гыш) алынар опомниться,санаа (сагыш) алынар опомниться,эске (сагышка) алынар вспоминать; кӱч алынар набираться сил; тыныш алынар переводить дыхание; бойына алынар воспринимать на свой счёт; кей алынар простывать на сквозняке (о женщине после родов),санаа (са- гыш) алынар опомниться; эске (сагышка) алынар вспоминать; кӱч алынар набирать- ся сил; тыныш алынар переводить дыхание; бойына алынар воспринимать на свой счёт; кей алынар простывать на сквозняке (о жен- щине после родов)
823,1,алын тиш анат. резец,алын тиш анат. резец,алын кып приёмная,алын тиш анат. резец; алын кып приёмная
824,1,санаа (сагыш) алындырар вразумлять,санаа (сагыш) алындырар вразумлять,эске (сагышка) алындырар заставлять вспомнить,санаа (сагыш) алындырар вразумлять; эске (сагышка) алындырар заставлять вспомнить
826,1,эске алыныш воспоминание,эске алыныш воспоминание,,эске алыныш воспоминание
827,1,"Алып та болзо, адазынаҥ айап jӱрер (Посл.) И бога- тырь отца боится","алып та болзо, адазынаҥ айап jӱрер (посл.) и богатырь отца боится",,"Алып та болзо, адазынаҥ айап jÿрер (Посл.) И бога- тырь отца боится"
839,1,алыс јер преис- подняя,алыс јер преисподняя,,алыс јер преис- подняя
842,1,алыстап кар јаады местами выпал снег,алыстап кар јаады местами выпал снег,,алыстап кар јаады местами выпал снег
846,1,"алышкандар мн. ново- брачные, молодожёны","алышкандар мн. новобрачные, молодожёны",алышпас этн. запрет брака внутри рода; от алыжар 1) разгораться; 2) взрываться; от алышпас давать осечку; ӱн алыжар перекликаться; тил алыжар находить общий язык,"алышкандар мн. ново- брачные, молодожёны; алышпас этн. запрет брака внутри рода; от алыжар 1) разгорать- ся; 2) взрываться; от алышпас давать осечку; ӱн алыжар перекликаться; тил алыжар на- ходить общий язык"
847,1,кижи алыш женитьба,кижи алыш женитьба,алыш та jок и брать нечего,кижи алыш женитьба; алыш та jок и брать нечего
859,1,Амадузы jокко тӧргӧ дӧ jетпезиҥ (Посл.) Без цели даже до почётного места в доме не дойдёшь,амадузы jокко тӧргӧ дӧ jетпезиҥ (посл.) без цели даже до почётного места в доме не дойдёшь,,Амадузы jокко тöргö дö jетпезиҥ (Посл.) Без цели даже до почётного места в доме не дойдёшь
869,1,Учкашканда,учкашканда,"jорго, амзашканда — тату (Посл.) Когда вдвоём на коня садятся, то конь — иноходец, когда вдвоём угощаются, то еда — сладкая","Учкашканда — jорго, амзашканда — тату (Посл.) Когда вдвоём на коня садятся, то конь — иноходец, когда вдво- ём угощаются, то еда — сладкая"
873,1,Амтажыган бӧрӱ алтыны jиир (Погов.) Повадившийся волк шестерых съест,амтажыган бӧрӱ алтыны jиир (погов.) повадившийся волк шестерых съест,,Амтажыган бöрÿ алтыны jиир (Погов.) Повадившийся волк шестерых съест
883,1,"амыр јок беспокойный, неугомонный","амыр јок беспокойный, неугомонный",,"амыр јок беспокойный, неугомонный"
885,1,амыраар ӧй 1) время отдыха,амыраар ӧй 1) время отдыха,2) обеденный перерыв; амыраар кӱн выходной,амыраар ӧй 1) время отдыха; 2) обеденный перерыв; амыраар кӱн выход- ной
935,1,анча кире столько,анча кире столько,,анча кире столько
942,1,чоокыр аҥ олень пятнистый,чоокыр аҥ олень пятнистый,"Аҥныҥ мойнын ок кезер, эрдиҥ мойнын jок кезер (Погов.) Шею зверя пуля косит, шею мужчины нищета (букв. отсутствие) косит","чоокыр аҥ олень пятнистый; Аҥныҥ мойнын ок кезер, эрдиҥ мойнын jок кезер (Погов.) Шею зверя пуля косит, шею мужчины нищета (букв. от- сутствие) косит"
944,1,Аҥдаарга,аҥдаарга,"аҥаа, чаазынга — чалаҥ (Погов.) Для того, чтобы охотиться — рассеянный, для того, чтобы писать (букв. для бумаги) — небрежный","Аҥдаарга — аҥаа, чаазынга — чалаҥ (Погов.) Для того, чтобы охотиться — рассеянный, для того, чтобы писать (букв. для бумаги) — небрежный"
946,1,"Аҥдап барзаҥ, акча алба, аҥдаар алдында ийт азыраба (Посл.) Собираясь на охоту денег не бери, перед охотой собаку не корми","аҥдап барзаҥ, акча алба, аҥдаар алдында ийт азыраба (посл.) собираясь на охоту денег не бери, перед охотой собаку не корми",,"Аҥдап барзаҥ, акча алба, аҥдаар алдында ийт азыраба (Посл.) Собираясь на охоту денег не бери, перед охотой собаку не корми"
1010,1,айдыҥ аразы фаза луны перед новолунием,айдыҥ аразы фаза луны перед новолунием,,айдыҥ аразы фаза луны перед новолунием
1011,1,"јӱк арай еле-еле, кое-как","јӱк арай еле-еле, кое-как",арайкерейдеҥ кое-как,"јӱк арай еле-еле, кое-как; арай- керейдеҥ кое-как"
1012,1,"јӱк арайдаҥ арайдаҥ ка- еле спастись, еле избежать чего-либо лар","јӱк арайдаҥ арайдаҥ каеле спастись, еле избежать чего-либо лар",,"јӱк арайдаҥ арайдаҥ ка- еле спастись, еле избежать чего-либо лар"
1040,1,арбаш јиир выслушивать ругань (букв. есть ругань) (Л. Кокышев) Природа вокруг очень тихая и спокойная,арбаш јиир выслушивать ругань (букв. есть ругань) (л. кокышев) природа вокруг очень тихая и спокойная,,арбаш јиир выслушивать ругань (букв. есть ругань) (Л. Кокышев) Природа вокруг очень тихая и спокойная
1048,1,арга-кӱчи jок улус люди без возможностей и средств,арга-кӱчи jок улус люди без возможностей и средств,,арга-кӱчи jок улус люди без возможностей и средств
1051,1,арга-чагы jок без воз- можностей и силы,арга-чагы jок без возможностей и силы,,арга-чагы jок без воз- можностей и силы
1138,1,"кийнинеҥ ары вслед, за","кийнинеҥ ары вслед, за","оноҥ ары дальше, далее; ары учында в том конце","кийнинеҥ ары вслед, за; оноҥ ары дальше, далее; ары учында в том конце"
1182,1,"Кижи болзо, атту болор, кийик болзо, jерлӱ болор (Погов.) Если человек, то дол- жен быть с именем, если зверь, то должен быть с местом обитания (букв. с землёй)","кижи болзо, атту болор, кийик болзо, jерлӱ болор (погов.) если человек, то должен быть с именем, если зверь, то должен быть с местом обитания (букв. с землёй)",,"Кижи болзо, атту болор, кийик болзо, jерлÿ болор (Погов.) Если человек, то дол- жен быть с именем, если зверь, то должен быть с местом обитания (букв. с землёй)"
1183,1,Ат јыл Год Лошади,ат јыл год лошади,,Ат јыл Год Лошади
1227,1,ач кӧс ненасытные глаза,ач кӧс ненасытные глаза,,ач кöс ненасытные глаза
1238,1,ачу аш алкоголь,ачу аш алкоголь,ачузы тудар становиться злым,ачу аш алкоголь; ачузы тудар становиться злым
1273,1,ӧйинеҥ ажар переходить границы дозволенного,ӧйинеҥ ажар переходить границы дозволенного,,ӧйинеҥ ажар переходить границы дозволенного
1318,1,баш базылар быть уби- тым (букв. голова будет придавлена),баш базылар быть убитым (букв. голова будет придавлена),кепке базылар быть напечатанным,баш базылар быть уби- тым (букв. голова будет придавлена); кепке базылар быть напечатанным
1371,1,"уул бала маль- чик, сын","уул бала мальчик, сын","кыс бала девочка, дочь; бала табар рожать ребёнка; бала качырар красть невестку (букв. угнать ребёнка)","уул бала маль- чик, сын; кыс бала девочка, дочь; бала та- бар рожать ребёнка; бала качырар красть невестку (букв. угнать ребёнка)"
1392,1,тeктe балтырган пушистый дягиль,тeктe балтырган пушистый дягиль,айу-балтырган медвежий дягиль,тeктe балтырган пушистый дягиль; айу-балтыр- ган медвежий дягиль
1420,1,бала-барка дети,бала-барка дети,,бала-барка дети
1452,1,санааларга бастырар быть подавленным думами,санааларга бастырар быть подавленным думами,"каранга бастырар испытывать во сне удушье, увидев страшный сон","санааларга бастырар быть подавленным думами; каранга бастырар испытывать во сне удушье, увидев страшный сон"
1453,1,бастыра jӱрегинеҥ от всего сердца,бастыра jӱрегинеҥ от всего сердца,,бастыра jÿрегинеҥ от всего сердца
1459,1,"бажы бадар сгинуть, исчезнуть","бажы бадар сгинуть, исчезнуть",,"бажы бадар сгинуть, исчезнуть"
1464,1,"батка- зы кайнайт испытывает злость, ненависть","батказы кайнайт испытывает злость, ненависть",,"батка- зы кайнайт испытывает злость, ненависть"
1475,1,бажы бадар погибать,бажы бадар погибать,бажы куру глупый; бажынаҥ кату умственно отсталый; бажында салкын легкомысленный; бажын айландырар морочить голову; башка чыгар ударить в голову (о спиртных напитках); баш jазар опохмеляться,бажы бадар погибать; бажы куру глупый; бажынаҥ кату умственно отсталый; бажын- да салкын легкомысленный; бажын айлан- дырар морочить голову; башка чыгар уда- рить в голову (о спиртных напитках); баш jазар опохмеляться
