entry_id,phrase_id,phrase_alt_raw,phrase_alt_norm,phrase_ru,raw_block
8549,1,Ат карыза,ат карыза,"согумтык, эр карыза — ӧлӱмтик (Погов.) Если состарится конь, то станет убойным мясом, если состарится мужчина, то станет бессильным","Ат карыза — согумтык, эр карыза — öлÿмтик (Погов.) Если состарит- ся конь, то станет убойным мясом, если со- старится мужчина, то станет бессильным"
8554,1,"Ӧмӧлӱ кижи ӧрттӧҥ коркыбас, ортокту кижи оттоҥ айабас (Посл.) Имеющий под- держку человек пожара не боится, сообща делающий человек огня не страшится","ӧмӧлӱ кижи ӧрттӧҥ коркыбас, ортокту кижи оттоҥ айабас (посл.) имеющий поддержку человек пожара не боится, сообща делающий человек огня не страшится",,"Ӧмӧлӱ кижи ӧрттӧҥ коркыбас, ортокту кижи оттоҥ айабас (Посл.) Имеющий под- держку человек пожара не боится, сообща делающий человек огня не страшится"
8559,1,Ӧскӱрип алза,ӧскӱрип алза,"мал болор, ӧмӧлӧп алза — jон болор (Погов.) Если вырастить — скот будет, если сделать сообща — народом станет","Ӧскÿрип алза — мал бо- лор, öмöлöп алза — jон болор (Погов.) Если вырастить — скот будет, если сделать сообща — народом станет"
8565,1,Ӧмӧлӱ иш ӧчпӧс (По- гов.) Сплочённая работа спорится - дружный народ вверх не поднимется,ӧмӧлӱ иш ӧчпӧс (погов.) сплочённая работа спорится - дружный народ вверх не поднимется,2. в знач. сущ. дружный; Ӧмӧчилдиҥ кӱӱни ӧчӧр (Посл.) У дружных дух угаснет,Ӧмöлÿ иш öчпöс (По- гов.) Сплочённая работа спорится - дружный народ вверх не поднимется; 2. в знач. сущ. дружный; Öмöчилдиҥ кÿÿни öчöр (Посл.) У дружных дух угаснет
8572,1,ӧҥи кирер приобретать цвет,ӧҥи кирер приобретать цвет,ӧҥ кийдирер придавать цвет,ӧҥи кирер приобретать цвет; ӧҥ кий- дирер придавать цвет
8587,1,"Кӧрнӧӧлӱ от кӧҥжиир, керсӱ кижи ӧҥжиир (Погов.) Рас- калённый огонь воспламенится, умный чело- век расцветёт","кӧрнӧӧлӱ от кӧҥжиир, керсӱ кижи ӧҥжиир (погов.) раскалённый огонь воспламенится, умный человек расцветёт",,"Кöрнööлÿ от кöҥжиир, керсÿ кижи öҥжиир (Погов.) Рас- калённый огонь воспламенится, умный чело- век расцветёт"
8590,1,"Иштеҥкейдиҥ jадыны ӧҥжӱк, jалкуныҥ jурты тежик (Погов.) Жизнь работящего хо- рошая, жильё ленивого дырявое","иштеҥкейдиҥ jадыны ӧҥжӱк, jалкуныҥ jурты тежик (погов.) жизнь работящего хорошая, жильё ленивого дырявое",,"Иштеҥкейдиҥ jадыны öҥжÿк, jалкуныҥ jурты тежик (Погов.) Жизнь работящего хо- рошая, жильё ленивого дырявое"
8591,1,"ӧзӧк-бууры ӧҥзӱреер печалиться, переживать","ӧзӧк-бууры ӧҥзӱреер печалиться, переживать",,"öзöк-бууры öҥзÿреер печалиться, переживать"
8594,1,ӧзӧк- буурын ӧҥзӱредер бередить душу,ӧзӧкбуурын ӧҥзӱредер бередить душу,,öзöк- буурын öҥзÿредер бередить душу
8632,1,"Шорлоҥкойдыҥ шогы кӧп, ӧӧрӧҥкӧйдиҥ ӧчи кӧп (Погов.) У невезучего неудач много, у обидчивого мести много","шорлоҥкойдыҥ шогы кӧп, ӧӧрӧҥкӧйдиҥ ӧчи кӧп (погов.) у невезучего неудач много, у обидчивого мести много",,"Шорлоҥкойдыҥ шогы кöп, ööрöҥкöйдиҥ öчи кöп (Погов.) У невезучего неудач много, у обидчивого мести много"
